SR.NO,Country,Active military,Reserve military,Paramilitary,Total,"Per 1,000 capita(active)","Per 1,000 capita(total)"
1,Afghanistan,250000,75000,170000,495000,7.2,14.2
2,Albania,8000,0,0,8000,2.6,2.6
3,Algeria,130000,150000,187200,467200,3.1,11.2
4,Angola,107000,0,10000,117000,3.5,3.9
5,Antigua and Barbuda,180,80,0,260,1.9,2.7
6,Argentina,72100,0,31250,103350,1.6,2.3
7,Armenia,44800,210000,4300,259100,14.7,85.3
8,Australia,58600,30100,0,88700,2.5,3.8
9,Austria,22050,125600,0,147650,2.5,16.8
10,Azerbaijan,126950,330000,15000,471950,12.6,47
11,Bahamas,1300,0,0,1300,3.9,3.9
12,Bahrain,8200,0,11260,19460,5.7,13.5
13,Bangladesh,163050,0,63900,226950,1,1.4
14,Barbados,610,430,0,1040,2.1,3.6
15,Belarus,45350,289500,110000,444850,4.8,46.7
16,Belgium,26300,5100,0,31400,2.3,2.7
17,Belize,1500,700,150,2350,3.9,6.1
18,Benin,7250,0,4800,12050,0.6,1.1
19,Bolivia,34100,0,37100,71200,3,6.3
20,Bosnia and Herzegovina,10500,0,0,10500,2.7,2.7
21,Botswana,9000,0,0,9000,4,4
22,Brazil,366500,1340000,395000,2101500,1.8,10.1
23,Brunei,7200,700,450,8350,16,18.5
24,Bulgaria,36950,3000,0,39950,5.2,5.7
25,Burkina Faso,11200,0,250,11450,0.6,0.6
26,Burundi,30050,0,21000,51050,2.5,4.3
27,Cambodia,124300,0,67000,191300,7.6,11.6
28,Cameroon,25400,0,9000,34400,1,1.3
29,Canada,67400,35600,4500,107500,1.9,3
30,Cape Verde,1200,0,0,1200,2.1,2.1
31,Central African Republic,9150,0,1000,10150,1.6,1.8
32,Chad,33250,0,11900,45150,2.1,2.9
33,Chile,77200,40000,44700,161900,4.3,9
34,People's Republic of China,2185000,1170000,660000,4015000,1.6,2.9
35,Colombia,293200,34950,187900,516050,6.1,10.7
36,Costa Rica,0,0,9800,9800,0,2
37,Côte d'Ivoire,27400,0,0,27400,1,1
38,Croatia,15200,18350,3000,36550,3.6,8.6
39,Cuba,49000,39000,1146500,1234500,4.4,110.9
40,Cyprus,15000,50000,750,65750,12.1,53.1
41,Czech Republic,21750,0,0,21750,2,2
42,Democratic Republic of the Congo,134250,0,0,134250,1.6,1.6
43,Denmark,14500,44000,0,58500,2.5,10.1
44,Djibouti,10450,0,2650,13100,11.8,14.8
45,Dominican Republic,56050,0,15000,71050,5.4,6.9
46,East Timor,2280,0,0,2280,1.7,1.7
47,Ecuador,40250,118000,500,158750,2.4,9.6
48,Egypt,438500,479000,397000,1314500,4.4,13.2
49,El Salvador,24500,9900,17000,51400,4,8.3
50,Equatorial Guinea,1450,0,0,1450,1.8,1.8
51,Eritrea,201750,120000,0,321750,33.8,53.9
52,Estonia,7100,17500,0,24600,5.7,19.8
53,Ethiopia,138000,0,0,138000,1.3,1.3
54,Fiji,3500,6000,0,9500,3.8,10.3
55,Finland,23800,254000,14200,292000,4.3,52.7
56,France,208750,141050,30800,380600,3.1,5.6
57,Gabon,4700,0,2000,6700,2.2,3.2
58,Gambia,800,0,0,800,0.4,0.4
59,Georgia,20650,0,5400,26050,4.2,5.3
60,Germany,183500,50050,0,233550,2.3,2.9
61,Ghana,15500,0,0,15500,0.6,0.6
62,Greece,142700,221350,4000,368050,13.3,34.2
